FIPS Code,State,Area name,Percent Poverty,Percent of adults with a high school diploma only 2018-22,Unemployment Rate (2022),Median Household Income2,Latitutde,Long,Population,Age Under 5 2017,Age Under 18 2010,Age Over 65 2017,Median Age 2017,Female 2010,White 2010,Black 2017,Native 2017,Pacific Island 2017,Speak English Only 2017,Foreign Spoken at Home 2010,Veterans,2003 Urban Influence Code,2013 Urban Influence Code,2013 Rural-urban Continuum Code,2023 Rural-urban Continuum Code,Less than a high school diploma 1970,High school diploma only 1970,Some college (1-3 years) 1970,Four years of college or higher 1970
01001,AL,Autauga County,10.7,31.1,2.3,66444,32.5349,-86.6427,58761.0,5.7,26.8,14.3,37.8,51.3,78.5,9.55,0.15,0.04,96.2,3.7,7.4,2.0,2.0,2.0,2.0,6611,3757,933,767
01003,AL,Baldwin County,10.8,27.8,2.4,65658,30.7277,-87.7226,233420.0,5.7,23,19,42.6,51.1,85.7,4.77,0.41,0,94.5,5.5,5.1,5.0,2.0,3.0,3.0,18726,8426,2334,2038
01005,AL,Barbour County,23,36.8,4.1,38649,31.8696,-85.3932,24877.0,5.5,21.9,17.4,39.7,46.9,48,24.02,0.1,0,94.3,4.7,7.2,6.0,6.0,6.0,6.0,8120,2242,581,861
01007,AL,Bibb County,20.6,40.9,2.5,48454,32.9986,-87.1265,22251.0,5.7,22.7,15.1,39.8,46.3,75.8,11.03,0.18,0,97.8,1.5,7.6,1.0,1.0,1.0,1.0,5272,1402,238,302
01009,AL,Blount County,12,35.3,2.2,56894,33.9809,-86.5674,59077.0,6.1,24.6,17.4,40.9,50.5,92.6,0.79,0.18,0,92.3,7.2,5.6,1.0,1.0,1.0,1.0,10677,3440,626,404
01011,AL,Bullock County,32.1,41.3,2.8,32027,32.1005,-85.7157,10328.0,5.8,22.3,15.2,40.8,45.8,23,37.82,0.52,0,97.2,3.8,3.5,6.0,6.0,6.0,8.0,4245,958,305,314
01013,AL,Butler County,22.7,48.0,3.4,39442,31.7524,-86.6803,18981.0,5.9,24.1,18.5,40.7,53,54.4,22.43,0.03,0,98.5,1.6,4.8,6.0,6.0,6.0,6.0,8353,2459,499,541
01015,AL,Calhoun County,19.2,34.6,3.0,48166,33.7714,-85.826,116162.0,5.7,22.9,16.5,39.1,51.8,74.9,10.27,0.18,0,95.9,4.5,5.2,2.0,2.0,3.0,3.0,30535,13804,3823,3921
01017,AL,Chambers County,19.7,39.5,2.6,45447,32.9143,-85.392,34612.0,6.1,22.5,18.6,43,52.2,58.8,19.67,0.14,0,98.6,1.6,4.3,5.0,5.0,6.0,6.0,13616,4816,927,847
01019,AL,Cherokee County,18.2,36.1,2.3,46365,34.1759,-85.6038,25069.0,4.5,21.4,21,46.1,50.4,92.7,2.49,0.24,0,99,1.4,3.8,6.0,6.0,6.0,8.0,6126,1878,440,329
